Segmentation,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,KMCluster,HCCluster
D,467830,Male,No,31,Yes,Entertainment,1.0,Low,3.0,Cat_6,7,8
D,463752,Female,No,28,Yes,Healthcare,,Low,2.0,Cat_3,2,7
A,461770,Male,Yes,65,Yes,Artist,1.0,Low,2.0,Cat_6,4,1
B,466525,Male,Yes,33,Yes,Artist,0.0,Average,2.0,Cat_6,4,1
C,462349,Male,Yes,49,Yes,Artist,0.0,Average,6.0,Cat_6,4,1
C,463964,Male,No,33,No,Healthcare,1.0,Low,4.0,Cat_6,5,4
C,459353,Male,Yes,53,Yes,Artist,6.0,Average,2.0,Cat_6,4,1
C,459709,Female,Yes,47,Yes,Artist,7.0,Average,4.0,Cat_6,3,3
D,461858,Male,No,31,No,Entertainment,1.0,Low,7.0,Cat_4,5,4
B,460450,Male,Yes,52,Yes,Executive,1.0,High,4.0,Cat_4,4,1
B,466520,Male,,61,,Engineer,2.0,Average,2.0,Cat_3,4,1
D,467646,Male,No,31,No,Healthcare,,Low,7.0,Cat_6,5,4
A,460780,Female,No,30,Yes,Healthcare,1.0,Low,2.0,Cat_3,2,7
C,463514,Male,Yes,63,Yes,Entertainment,,Average,2.0,Cat_6,4,1
B,465105,Male,Yes,69,No,Executive,9.0,Average,2.0,Cat_6,1,6
D,460445,Male,No,29,Yes,Engineer,0.0,Low,4.0,Cat_3,7,8
B,462961,Female,Yes,56,No,Engineer,1.0,Average,5.0,Cat_6,8,2
B,463932,Female,Yes,72,Yes,Artist,1.0,Average,3.0,Cat_6,3,3
A,459145,Male,Yes,88,No,Lawyer,,Low,1.0,Cat_2,1,6
D,465651,Male,No,30,No,Engineer,1.0,Low,4.0,Cat_6,5,4
B,463721,Female,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_2,2,7
A,467369,Male,No,41,Yes,Artist,2.0,Low,3.0,Cat_6,7,8
D,461361,Female,No,31,Yes,Healthcare,9.0,Low,7.0,Cat_5,2,7
D,465608,Male,No,20,No,Healthcare,,Low,5.0,Cat_3,5,4
A,464793,Female,Yes,26,No,Marketing,7.0,High,3.0,Cat_4,8,2
C,463736,Male,Yes,48,No,Entertainment,,Average,5.0,Cat_6,1,6
D,462799,Male,No,26,No,Healthcare,,Low,,Cat_5,5,4
D,459006,Male,No,20,No,Healthcare,1.0,Low,4.0,Cat_6,5,4
A,460204,Male,Yes,41,Yes,Artist,4.0,Low,4.0,Cat_6,4,1
D,465257,Male,No,20,,Healthcare,4.0,Low,5.0,Cat_2,5,4
B,466762,Male,Yes,63,Yes,Homemaker,1.0,Low,3.0,Cat_6,4,1
D,464318,Male,Yes,88,Yes,Executive,1.0,Low,1.0,Cat_6,4,1
B,459634,Female,No,39,Yes,Engineer,,Low,3.0,Cat_6,2,7
A,465416,Male,Yes,55,No,Engineer,1.0,High,4.0,Cat_6,1,6
D,467275,Male,No,32,Yes,Healthcare,,Low,,Cat_6,7,8
D,462117,Male,No,32,Yes,Entertainment,1.0,Low,2.0,Cat_6,7,8
A,460710,Female,Yes,38,Yes,Artist,0.0,Average,3.0,Cat_6,3,3
B,460098,Female,Yes,62,Yes,Engineer,1.0,Low,1.0,Cat_3,3,3
D,465787,Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_4,5,4
D,463365,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_6,1,6
B,464042,Female,Yes,42,Yes,Artist,9.0,Low,2.0,Cat_6,3,3
A,467627,Female,No,45,Yes,Engineer,0.0,Low,1.0,Cat_6,2,7
D,464720,Male,Yes,46,No,Doctor,0.0,Average,3.0,Cat_4,1,6
D,461123,Male,No,20,No,Healthcare,2.0,Low,4.0,Cat_4,5,4
A,465413,Female,Yes,41,Yes,Engineer,0.0,High,3.0,Cat_6,3,3
A,465126,Female,Yes,35,No,Engineer,7.0,Average,4.0,Cat_4,8,2
A,465950,Female,Yes,52,Yes,Artist,6.0,Low,2.0,Cat_6,3,3
B,466734,Female,Yes,63,Yes,Artist,1.0,Average,4.0,Cat_6,3,3
C,466222,Male,Yes,51,No,Executive,5.0,Low,3.0,Cat_2,1,6
A,466142,Female,Yes,29,Yes,Entertainment,0.0,Average,2.0,Cat_6,3,3
B,467888,Male,No,27,No,Doctor,0.0,Low,4.0,Cat_6,5,4
A,461992,Female,No,37,Yes,Doctor,1.0,Low,1.0,Cat_4,2,7
C,460522,Female,Yes,29,No,Homemaker,,Average,2.0,Cat_4,8,2
A,459973,Female,No,50,Yes,Artist,0.0,Low,2.0,Cat_6,2,7
A,460695,Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,1
C,464260,Female,Yes,72,Yes,Artist,3.0,Average,3.0,Cat_6,3,3
B,464140,Female,Yes,83,Yes,Lawyer,1.0,High,2.0,Cat_6,3,3
A,465606,Male,Yes,37,Yes,Engineer,1.0,Average,3.0,Cat_3,4,1
D,459050,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,6,5
B,462330,Female,No,30,No,Artist,1.0,Low,1.0,Cat_6,6,5
B,459940,Female,No,46,Yes,Engineer,1.0,Low,2.0,Cat_1,2,7
B,466352,Female,Yes,65,Yes,Doctor,1.0,Low,2.0,Cat_6,3,3
C,463558,Female,Yes,88,Yes,Lawyer,1.0,Average,2.0,Cat_6,3,3
A,460049,Male,Yes,43,Yes,Entertainment,0.0,Average,2.0,Cat_5,4,1
C,464148,Male,Yes,50,Yes,Executive,9.0,High,3.0,Cat_2,4,1
D,465503,Male,No,35,Yes,Artist,8.0,Low,2.0,Cat_6,7,8
A,465082,Male,Yes,67,Yes,Lawyer,0.0,Low,1.0,Cat_3,4,1
B,459832,Male,Yes,66,Yes,Executive,0.0,Low,1.0,Cat_6,4,1
C,464609,Female,No,39,Yes,Artist,3.0,Low,2.0,Cat_6,2,7
C,466703,Female,Yes,46,Yes,Homemaker,0.0,Average,,Cat_6,3,3
D,466864,Female,No,32,No,Homemaker,8.0,Low,1.0,Cat_6,6,5
B,461458,Female,No,40,Yes,Artist,6.0,Low,1.0,Cat_6,2,7
C,459218,Male,Yes,88,Yes,Lawyer,0.0,High,3.0,Cat_6,4,1
D,462860,Male,No,30,Yes,Healthcare,8.0,Low,5.0,Cat_6,7,8
A,462033,Male,No,32,Yes,Entertainment,1.0,Low,1.0,Cat_6,7,8
D,467695,Male,Yes,43,No,Marketing,1.0,Low,2.0,Cat_7,1,6
B,463090,Female,Yes,55,No,Engineer,3.0,Average,2.0,Cat_6,8,2
C,459219,Female,Yes,47,Yes,Artist,0.0,Average,3.0,Cat_6,3,3
A,460148,Female,Yes,73,No,Engineer,1.0,Low,,,8,2
C,461603,Male,No,39,Yes,Artist,,Low,1.0,Cat_6,7,8
D,466359,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
A,464655,Male,Yes,39,Yes,,0.0,Average,5.0,Cat_4,4,1
B,466088,Female,No,31,No,Healthcare,0.0,Low,7.0,Cat_6,6,5
D,461205,Male,No,27,Yes,Healthcare,,Low,3.0,Cat_2,7,8
D,462822,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
C,459076,Male,Yes,69,No,Doctor,0.0,Average,2.0,Cat_6,1,6
B,463410,Male,Yes,37,No,Doctor,,Average,2.0,Cat_6,1,6
C,463879,Male,Yes,45,Yes,Executive,0.0,High,2.0,Cat_6,4,1
A,462827,Female,No,22,No,Doctor,1.0,Low,3.0,Cat_3,6,5
B,461500,Female,No,26,Yes,Doctor,0.0,Low,3.0,Cat_6,2,7
A,461553,Male,No,39,Yes,Artist,1.0,Low,3.0,Cat_7,7,8
A,467912,Male,Yes,61,Yes,Entertainment,1.0,Low,2.0,Cat_5,4,1
C,465029,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,8,2
D,460062,Male,No,29,Yes,Artist,4.0,Low,1.0,Cat_3,7,8
D,462863,Male,No,29,Yes,Homemaker,5.0,Low,1.0,Cat_6,7,8
D,460465,Male,No,36,No,Executive,0.0,Low,3.0,Cat_6,5,4
B,460335,Female,No,63,Yes,Doctor,0.0,Low,2.0,Cat_6,2,7
C,466067,Male,Yes,69,Yes,Artist,0.0,Average,5.0,Cat_3,4,1
B,463962,Female,,35,Yes,Artist,12.0,Low,2.0,Cat_6,2,3
A,459807,Male,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6,4,1
B,463364,Female,Yes,71,No,Lawyer,1.0,High,2.0,Cat_6,8,2
C,463599,Female,No,31,No,Healthcare,10.0,Low,2.0,Cat_3,6,5
A,462686,Male,Yes,41,Yes,Entertainment,9.0,Average,4.0,,4,1
B,462949,Male,Yes,35,No,Homemaker,1.0,Average,3.0,Cat_6,1,6
A,460275,Female,No,52,Yes,Artist,6.0,Low,1.0,Cat_6,2,7
D,461184,Male,No,19,No,Healthcare,,Low,4.0,Cat_3,5,4
B,460728,Female,,39,Yes,Artist,0.0,Low,1.0,Cat_7,3,3
B,462416,Male,Yes,45,No,Artist,0.0,Low,2.0,Cat_4,1,6
D,460846,Female,No,19,No,Marketing,1.0,Low,4.0,Cat_6,6,5
D,459542,Male,No,23,No,Healthcare,2.0,Low,5.0,Cat_6,5,4
D,459080,Male,Yes,77,No,Lawyer,0.0,Low,2.0,Cat_6,1,6
B,463106,Female,Yes,84,Yes,Lawyer,0.0,Low,1.0,Cat_6,3,3
D,464728,Male,Yes,47,No,Entertainment,1.0,High,4.0,Cat_4,1,6
A,466474,Male,No,29,Yes,Entertainment,6.0,Low,3.0,Cat_6,7,8
A,461711,Female,No,35,Yes,Artist,8.0,Low,3.0,Cat_2,2,7
C,460347,Male,Yes,40,Yes,Artist,14.0,Low,2.0,Cat_6,4,1
D,467689,Male,No,35,No,Healthcare,1.0,Low,1.0,Cat_6,5,4
D,460260,Male,No,20,No,Healthcare,0.0,Low,3.0,Cat_2,5,4
A,466344,Male,No,43,Yes,Entertainment,0.0,Low,2.0,Cat_2,7,8
D,466437,Male,Yes,56,No,Executive,0.0,Low,1.0,Cat_6,1,6
A,460423,Female,Yes,53,Yes,Artist,3.0,Low,1.0,Cat_7,3,3
D,459590,Male,Yes,22,No,Executive,1.0,High,3.0,Cat_6,1,6
D,464668,Male,Yes,32,No,Healthcare,1.0,High,4.0,Cat_4,1,6
A,463049,Male,Yes,51,No,Executive,2.0,High,5.0,Cat_6,1,6
D,460458,Female,No,41,No,Marketing,1.0,Low,,Cat_3,6,5
A,462407,Male,Yes,37,No,Doctor,2.0,Average,4.0,Cat_6,1,6
A,459450,Male,Yes,55,Yes,Artist,4.0,Average,4.0,Cat_6,4,1
A,463255,Male,No,42,Yes,Entertainment,3.0,Low,2.0,Cat_6,7,8
D,462574,Male,No,20,No,Healthcare,1.0,Low,5.0,Cat_4,5,4
A,465761,Female,No,42,Yes,Artist,12.0,Low,2.0,Cat_4,2,7
B,467728,Female,Yes,38,No,Engineer,1.0,High,5.0,Cat_6,8,2
A,465841,Female,No,52,Yes,Engineer,3.0,Low,1.0,Cat_6,2,7
D,460117,Female,Yes,48,Yes,Marketing,9.0,Low,1.0,Cat_6,3,3
C,466619,Male,Yes,37,Yes,Entertainment,5.0,Average,2.0,Cat_6,4,1
B,461722,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,5,4
B,460898,Male,Yes,48,No,Artist,3.0,Average,4.0,Cat_6,1,6
D,463627,Female,No,25,Yes,Marketing,5.0,Low,2.0,Cat_4,2,7
A,460403,Female,No,56,Yes,Doctor,3.0,Low,1.0,Cat_6,2,7
D,459818,Female,Yes,68,No,Lawyer,1.0,Low,1.0,Cat_6,8,2
D,463732,Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
D,462499,Female,,72,No,Lawyer,8.0,Average,2.0,Cat_6,8,2
B,467112,Male,No,43,Yes,Artist,1.0,Low,2.0,Cat_2,7,8
C,459902,Male,Yes,52,Yes,Lawyer,8.0,High,2.0,Cat_6,4,1
B,463233,Male,Yes,50,No,Executive,0.0,Average,5.0,Cat_6,1,6
D,467721,Male,No,41,Yes,Entertainment,0.0,Low,1.0,Cat_4,7,8
B,465915,Male,Yes,40,Yes,Entertainment,8.0,Average,2.0,Cat_6,4,1
D,464506,Male,No,32,Yes,Healthcare,8.0,Low,2.0,Cat_4,7,8
A,460624,Male,Yes,57,Yes,Homemaker,5.0,High,2.0,Cat_6,4,1
C,462020,Female,No,25,Yes,Artist,13.0,Low,2.0,Cat_6,2,7
A,464320,Male,Yes,74,No,Lawyer,0.0,High,2.0,Cat_6,1,6
D,467687,Male,No,38,Yes,Entertainment,,Low,4.0,Cat_6,7,8
C,461561,Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_6,3,3
D,465953,Female,No,50,Yes,Artist,1.0,Low,1.0,Cat_6,2,7
B,463309,Male,Yes,50,Yes,Artist,0.0,Average,2.0,Cat_3,4,1
C,459134,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,3,3
A,464195,Male,No,29,Yes,Artist,0.0,Low,1.0,Cat_6,7,8
B,467696,Male,Yes,84,Yes,Lawyer,,High,3.0,Cat_6,4,1
C,459586,Male,Yes,73,No,Executive,1.0,Low,,Cat_6,1,6
B,466504,Male,Yes,38,No,Executive,9.0,High,5.0,Cat_6,1,6
A,466792,Female,Yes,82,No,Lawyer,0.0,Low,1.0,Cat_6,8,2
A,459875,Male,Yes,71,No,Lawyer,0.0,High,,Cat_6,1,6
B,463837,Female,Yes,50,No,Engineer,0.0,Low,3.0,Cat_7,8,2
B,465384,Male,Yes,56,Yes,Artist,0.0,High,2.0,Cat_6,4,1
D,462050,Male,No,19,No,Healthcare,4.0,Low,3.0,Cat_2,5,4
B,465268,Male,Yes,29,No,Executive,12.0,Low,3.0,Cat_6,1,6
D,461370,Male,No,26,Yes,Doctor,1.0,Low,3.0,Cat_6,7,8
C,464225,Female,No,31,No,Doctor,1.0,Low,5.0,Cat_3,6,5
A,466665,Male,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6,4,1
B,462290,Female,No,33,Yes,Doctor,1.0,Low,1.0,Cat_6,2,7
D,459326,Male,Yes,35,No,Healthcare,1.0,Low,5.0,Cat_6,1,6
A,464926,Female,Yes,46,No,Engineer,0.0,High,3.0,Cat_4,8,2
B,460343,Female,No,67,Yes,Artist,0.0,Low,2.0,Cat_6,2,7
D,463626,Female,No,35,No,Artist,7.0,Low,2.0,Cat_6,6,5
A,464266,Male,No,28,No,Doctor,8.0,Low,3.0,Cat_6,5,4
D,464491,Female,No,43,No,Doctor,8.0,Low,1.0,Cat_4,6,5
A,467698,Female,Yes,40,No,Artist,3.0,Average,,Cat_6,8,2
C,463440,Female,Yes,73,Yes,Artist,0.0,Average,3.0,Cat_1,3,3
D,463602,Female,No,21,No,Healthcare,8.0,Low,4.0,Cat_6,6,5
D,464706,Female,No,32,No,Doctor,1.0,Low,3.0,Cat_4,6,5
D,467220,Female,No,36,No,,,Low,,Cat_4,6,5
A,460313,Male,No,32,Yes,Artist,13.0,Low,3.0,Cat_6,7,8
A,465497,Male,No,25,No,Homemaker,14.0,Low,3.0,Cat_5,5,4
A,465846,Female,No,40,Yes,Artist,5.0,Low,1.0,Cat_6,2,7
D,463374,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,6,5
B,462704,Male,Yes,48,Yes,Executive,5.0,High,5.0,Cat_6,4,1
C,462160,Female,No,36,Yes,Artist,3.0,Low,3.0,Cat_6,2,7
D,461365,Male,No,27,No,Healthcare,1.0,Low,3.0,Cat_6,5,4
B,464205,Female,Yes,82,No,Entertainment,0.0,High,2.0,Cat_6,8,2
D,459294,Male,No,23,No,Healthcare,9.0,Low,4.0,Cat_6,5,4
D,460318,Male,No,30,Yes,Entertainment,14.0,Low,3.0,Cat_6,7,8
A,467967,Male,No,30,Yes,Entertainment,8.0,Low,4.0,Cat_6,7,8
D,461797,Male,No,30,Yes,Healthcare,1.0,Low,3.0,Cat_6,7,8
C,462980,Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,7,8
A,462361,Male,Yes,60,Yes,Artist,0.0,Low,2.0,Cat_4,4,1
C,461855,Female,Yes,52,Yes,Artist,1.0,Average,2.0,Cat_6,3,3
D,461069,Female,No,19,No,Healthcare,,Low,,Cat_3,6,5
D,467522,Female,No,19,No,Healthcare,0.0,Low,2.0,Cat_6,6,5
D,463327,Male,Yes,40,No,Executive,1.0,Low,5.0,Cat_5,1,6
D,459824,Male,No,38,Yes,Entertainment,8.0,Low,1.0,Cat_6,7,8
B,461051,Female,Yes,71,Yes,Entertainment,1.0,Average,2.0,Cat_6,3,3
B,461142,Female,No,40,Yes,Engineer,1.0,Low,3.0,Cat_3,2,7
B,461521,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,4,1
A,459422,Male,Yes,50,Yes,Entertainment,,Low,4.0,Cat_6,4,1
D,467792,Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
B,467432,Male,No,29,Yes,Healthcare,,Low,3.0,Cat_6,7,8
A,464016,Female,,29,Yes,Entertainment,0.0,High,1.0,Cat_1,2,3
B,464654,Female,Yes,39,No,Engineer,1.0,Average,4.0,Cat_4,8,2
B,459111,Male,Yes,41,Yes,Executive,0.0,Low,4.0,Cat_6,4,1
D,459408,Male,No,28,No,Doctor,,Low,1.0,Cat_6,5,4
D,466473,Female,No,22,No,Healthcare,0.0,Low,3.0,Cat_2,6,5
A,464365,Male,No,35,Yes,Artist,,Low,1.0,Cat_6,7,8
B,460046,Female,Yes,49,Yes,Artist,3.0,Low,2.0,Cat_6,3,3
D,466698,Female,Yes,26,Yes,Healthcare,8.0,Low,2.0,Cat_3,3,3
C,460609,Female,No,33,No,Healthcare,,Low,1.0,Cat_4,6,5
D,459927,Female,No,27,No,Engineer,0.0,Low,2.0,Cat_3,6,5
A,467057,Female,No,50,No,Entertainment,8.0,Low,2.0,Cat_6,6,5
D,466052,Female,Yes,37,Yes,Homemaker,5.0,Low,2.0,Cat_4,3,3
A,464210,Male,No,43,Yes,Marketing,0.0,Low,2.0,Cat_6,7,8
D,465873,Male,No,35,Yes,Entertainment,13.0,Low,1.0,Cat_6,7,8
C,459802,Female,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_6,3,3
A,464817,Male,No,31,Yes,Artist,7.0,Low,1.0,Cat_4,7,8
D,465540,Female,Yes,29,No,Engineer,,High,2.0,Cat_6,8,2
D,460845,Female,No,20,No,Healthcare,0.0,Low,2.0,Cat_6,6,5
C,459072,Male,Yes,66,Yes,Entertainment,1.0,Average,2.0,Cat_6,4,1
A,465694,Male,Yes,37,Yes,Healthcare,1.0,Average,2.0,Cat_4,4,1
C,466381,Male,Yes,52,Yes,Artist,2.0,Average,2.0,Cat_6,4,1
C,460947,Male,Yes,45,Yes,Executive,7.0,High,5.0,Cat_6,4,1
D,467338,Female,No,27,Yes,Healthcare,2.0,Low,6.0,Cat_6,2,7
C,467189,Female,Yes,46,Yes,Artist,1.0,High,4.0,Cat_6,3,3
A,466456,Female,Yes,43,No,Doctor,9.0,Low,1.0,Cat_2,8,2
C,463805,Female,No,32,No,Doctor,8.0,Low,6.0,Cat_6,6,5
C,462427,Male,Yes,87,Yes,Lawyer,9.0,Low,4.0,Cat_6,4,1
B,462785,Female,Yes,40,Yes,Engineer,,Average,5.0,Cat_3,3,3
B,466906,Male,No,59,Yes,Artist,1.0,Low,2.0,Cat_6,7,8
C,461842,Male,Yes,63,Yes,Artist,1.0,Average,3.0,Cat_6,4,1
D,462229,Male,No,23,No,,0.0,Low,8.0,Cat_4,5,4
A,462372,Female,Yes,65,No,Lawyer,,High,2.0,Cat_6,8,2
B,462400,Male,No,47,Yes,Artist,0.0,Low,1.0,Cat_6,7,8
C,466598,Female,Yes,45,Yes,Artist,9.0,Low,2.0,Cat_6,3,3
D,466940,Male,Yes,79,No,Lawyer,0.0,Low,1.0,Cat_6,1,6
B,461754,Male,Yes,65,No,Entertainment,1.0,High,2.0,Cat_6,1,6
B,461376,Female,No,38,Yes,Healthcare,0.0,Low,2.0,Cat_6,2,7
D,459427,Female,Yes,28,Yes,Healthcare,,Low,2.0,Cat_6,3,3
D,462025,Male,No,20,No,Healthcare,2.0,Low,3.0,Cat_4,5,4
C,465720,Female,Yes,36,Yes,Artist,1.0,Low,2.0,Cat_6,3,3
D,466354,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
B,463857,Male,Yes,56,No,Healthcare,0.0,High,4.0,Cat_7,1,6
A,465849,Female,No,32,Yes,Doctor,5.0,Low,3.0,Cat_4,2,7
D,464100,Female,No,33,Yes,Healthcare,1.0,Low,1.0,Cat_6,2,7
C,461444,Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,3,3
C,461828,Male,Yes,53,Yes,Artist,,Average,3.0,Cat_6,4,1
B,464711,Female,Yes,38,Yes,Artist,7.0,Average,3.0,Cat_1,3,3
D,462759,Male,No,22,No,Healthcare,,Low,5.0,Cat_2,5,4
C,465349,Female,Yes,49,Yes,Artist,0.0,High,4.0,Cat_6,3,3
B,459449,Male,Yes,43,Yes,Artist,,Low,2.0,Cat_6,4,1
D,463407,Female,No,33,No,Doctor,0.0,Low,1.0,Cat_3,6,5
C,466632,Female,Yes,57,Yes,Artist,1.0,High,2.0,Cat_6,3,3
D,464641,Female,Yes,65,Yes,Lawyer,2.0,Low,6.0,Cat_1,3,3
B,460290,Female,,50,Yes,Artist,,High,1.0,,3,3
C,462154,Male,Yes,36,Yes,Entertainment,0.0,Average,2.0,Cat_6,4,1
A,464754,Female,Yes,43,No,Engineer,4.0,Average,7.0,Cat_4,8,2
C,460167,Female,No,18,No,Entertainment,1.0,Low,5.0,Cat_2,6,5
B,461987,Female,Yes,43,No,Engineer,1.0,Average,2.0,Cat_6,8,2
A,463259,Male,Yes,75,Yes,Lawyer,0.0,Low,1.0,Cat_6,4,1
D,464421,Female,Yes,27,No,Marketing,,High,4.0,Cat_6,8,2
B,461628,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_6,4,1
B,459126,Male,Yes,61,Yes,Artist,2.0,Low,2.0,Cat_6,4,1
D,460639,Female,Yes,73,Yes,Lawyer,,Low,5.0,Cat_1,3,3
C,465143,Male,No,26,Yes,Engineer,0.0,Low,5.0,Cat_4,7,8
B,460860,Male,Yes,52,Yes,Artist,7.0,Average,4.0,Cat_6,4,1
B,467629,Male,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_6,4,1
B,461720,Female,No,51,Yes,Artist,1.0,Low,1.0,Cat_4,2,7
C,460086,Male,Yes,50,No,Artist,1.0,Average,3.0,Cat_6,1,6
B,465832,Male,Yes,53,Yes,Executive,9.0,High,5.0,Cat_4,4,1
D,467070,Male,Yes,40,No,Executive,5.0,Low,4.0,Cat_6,1,6
D,459602,Female,Yes,86,No,Lawyer,,Low,1.0,Cat_6,8,2
B,463541,Female,No,26,No,Healthcare,0.0,Low,3.0,Cat_5,6,5
A,462431,Male,No,32,No,Entertainment,9.0,Low,4.0,Cat_6,5,4
D,461387,Female,No,22,No,Healthcare,5.0,Low,3.0,Cat_2,6,5
B,461693,Female,Yes,36,Yes,Artist,1.0,Average,4.0,Cat_6,3,3
B,466793,Female,,62,Yes,Artist,4.0,Average,3.0,Cat_6,3,3
A,466010,Female,Yes,69,No,Doctor,0.0,Low,1.0,Cat_3,8,2
A,465674,Female,No,39,Yes,Entertainment,1.0,Low,2.0,Cat_4,2,7
A,459405,Female,Yes,81,No,Doctor,0.0,High,2.0,Cat_6,8,2
D,465989,Female,No,28,No,Healthcare,9.0,Low,2.0,Cat_6,6,5
D,465598,Male,No,28,Yes,Healthcare,6.0,Low,5.0,Cat_2,7,8
B,466093,Male,No,52,Yes,Entertainment,1.0,Low,5.0,Cat_4,7,8
B,462773,Female,Yes,40,Yes,Artist,4.0,Average,5.0,Cat_6,3,3
B,467087,Male,No,68,Yes,Lawyer,0.0,Low,,Cat_6,7,8
D,465763,Female,Yes,37,No,Artist,0.0,Average,2.0,Cat_4,8,2
D,462958,Male,No,26,No,Marketing,1.0,Low,5.0,Cat_6,5,4
A,467056,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_6,6,5
C,461990,Female,Yes,68,Yes,Lawyer,0.0,Low,2.0,Cat_6,3,3
C,464480,Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_6,4,1
C,461318,Female,Yes,56,Yes,Artist,1.0,Average,6.0,Cat_5,3,3
A,467398,Male,Yes,37,No,Entertainment,1.0,Low,2.0,Cat_6,1,6
D,464222,Male,Yes,58,Yes,Artist,1.0,Low,1.0,Cat_6,4,1
A,465427,Male,No,33,Yes,Artist,7.0,Low,1.0,Cat_6,7,8
D,460652,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_4,6,5
B,463642,Female,No,27,Yes,Healthcare,0.0,Low,3.0,Cat_2,2,7
D,462672,Male,No,25,No,Healthcare,7.0,Low,4.0,Cat_4,5,4
B,466112,Male,Yes,51,Yes,Entertainment,1.0,Average,2.0,Cat_6,4,1
D,459831,Male,Yes,37,No,Engineer,8.0,Average,3.0,Cat_4,1,6
B,463027,Male,Yes,69,Yes,Executive,1.0,Average,4.0,Cat_6,4,1
A,462467,Female,Yes,45,No,Doctor,1.0,Low,1.0,Cat_6,8,2
C,461469,Male,Yes,38,Yes,Artist,0.0,Low,2.0,Cat_6,4,1
C,461562,Male,Yes,51,Yes,Artist,,Average,4.0,Cat_2,4,1
D,467051,Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,6,5
D,465928,Female,No,32,Yes,Healthcare,6.0,Low,3.0,Cat_6,2,7
C,462491,Male,No,31,Yes,Artist,1.0,Low,5.0,Cat_6,7,8
D,460642,Male,No,19,No,Healthcare,13.0,Low,3.0,Cat_3,5,4
C,460988,Male,Yes,41,Yes,Entertainment,0.0,Average,3.0,Cat_4,4,1
D,460634,Female,No,39,No,Entertainment,,Low,6.0,Cat_3,6,5
D,461108,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_3,5,4
D,464175,Female,No,30,No,Healthcare,0.0,Low,,Cat_6,6,5
D,463329,Male,No,23,No,Healthcare,0.0,Low,6.0,Cat_3,5,4
C,466153,Male,Yes,65,No,Entertainment,0.0,Average,2.0,Cat_6,1,6
D,467027,Male,No,31,No,Executive,4.0,Low,5.0,Cat_1,5,4
D,459707,Female,Yes,74,Yes,Lawyer,,Low,,Cat_6,3,3
C,466710,Female,Yes,73,No,Artist,1.0,High,2.0,Cat_6,8,2
C,465616,Male,Yes,42,Yes,Doctor,9.0,Low,2.0,Cat_6,4,1
B,463173,Male,No,47,Yes,Artist,0.0,Low,1.0,Cat_3,7,8
D,465779,Female,No,19,No,Healthcare,0.0,Low,5.0,Cat_2,6,5
D,465826,Male,Yes,45,No,Executive,3.0,Low,9.0,Cat_4,1,6
B,463063,Female,No,25,No,Marketing,,Low,7.0,Cat_2,6,5
D,463575,Female,No,28,Yes,Entertainment,0.0,Low,3.0,Cat_6,2,7
C,466480,Female,Yes,40,Yes,Artist,,Average,2.0,Cat_4,3,3
A,463175,Female,,40,No,Engineer,1.0,Low,4.0,Cat_3,8,5
D,462046,Female,No,30,Yes,Doctor,8.0,Low,,Cat_4,2,7
B,466075,Female,Yes,50,Yes,Engineer,1.0,Average,4.0,Cat_4,3,3
C,461723,Male,No,26,Yes,Healthcare,8.0,Low,2.0,Cat_6,7,8
B,460783,Male,Yes,82,Yes,Lawyer,0.0,Low,1.0,Cat_6,4,1
A,465962,Male,Yes,33,Yes,Healthcare,0.0,Low,2.0,Cat_7,4,1
C,462781,Male,No,50,No,Marketing,1.0,Low,2.0,Cat_7,5,4
D,466020,Male,Yes,83,No,Lawyer,0.0,Low,1.0,Cat_6,1,6
